"","doid","Term","Synonym","Secondary"
"1","DOID:0001816","angiosarcoma","""hemangiosarcoma"" EXACT []","DOID:4508"
"7","DOID:0002116","pterygium","""surfer's eye"" EXACT []","NA"
"11","DOID:0014667","disease of metabolism","""metabolic disease"" EXACT []","NA"
"15","DOID:0040001","shrimp allergy","NA","NA"
"18","DOID:0040002","aspirin allergy","""ASA allergy"" EXACT []","NA"
"23","DOID:0040003","benzylpenicillin allergy","""penicillin G allergy"" EXACT []","NA"
"28","DOID:0040004","amoxicillin allergy","NA","NA"
"31","DOID:0040005","ceftriaxone allergy","""rocephin allergy"" EXACT []","NA"
"35","DOID:0040006","carbamazepine allergy","""Tegretol allergy"" EXACT []","NA"
"40","DOID:0040007","abacavir allergy","""ABC allergy"" EXACT []","NA"
"44","DOID:0040008","isoniazide allergy","""isonicotinylhydrazide allergy"" EXACT []","NA"
"49","DOID:0040009","lidocaine allergy","""xylocaine allergy"" EXACT []","NA"
"55","DOID:0040010","mepivacaine allergy","""Polocaine allergy"" EXACT []","NA"
"60","DOID:0040011","phenobarbital allergy","""phenobarbitone allergy"" EXACT []","NA"
"66","DOID:0040012","phenytoin allergy","""Dilantin allergy"" EXACT []","NA"
"70","DOID:0040013","ranitidine allergy","""Zantac allergy"" EXACT []","NA"
"74","DOID:0040014","corticosteroid allergy","NA","NA"
"77","DOID:0040015","sulfonamide allergy","NA","NA"
"80","DOID:0040016","sulfamethoxazole allergy","""sulphamethoxazole allergy"" EXACT []","NA"
"86","DOID:0040017","suprofen allergy","""Profenal allergy"" EXACT []","NA"
"90","DOID:0040018","thiopental allergy","""pentothiobarbital allergy"" EXACT []","NA"
"95","DOID:0040019","D-mannitol allergy","""mannitol allergy"" EXACT []","NA"
"99","DOID:0040020","cefotaxime allergy","NA","NA"
"102","DOID:0040021","cephalosporin allergy","NA","NA"
"105","DOID:0040022","amodiaquine allergy","""Flavoquine allergy"" EXACT []","NA"
"110","DOID:0040023","cefaclor allergy","""cephaclor allergy"" EXACT []","NA"
"115","DOID:0040024","ceftazidime allergy","""Tazicef allergy"" EXACT []","NA"
"120","DOID:0040025","cefuroxime allergy","""Zinacef allergy"" EXACT []","NA"
"125","DOID:0040026","chlorhexidine allergy","NA","NA"
"128","DOID:0040027","cyclophosphamide allergy","""cytophosphane allergy"" EXACT []","NA"
"132","DOID:0040028","succinylcholine allergy","""suxamethonium allergy"" EXACT []","NA"
"139","DOID:0040029","trimethoprim allergy","""TMP allergy"" EXACT []","NA"
"145","DOID:0040030","cefixime allergy","NA","NA"
"148","DOID:0040031","diclofenac allergy","""Voltaren allergy"" EXACT []","NA"
"152","DOID:0040032","carbapenem allergy","NA","NA"
"155","DOID:0040033","piperacillin allergy","NA","NA"
"158","DOID:0040034","rocuronium allergy","""Zemuron allergy"" EXACT []","NA"
"163","DOID:0040035","sulfasalazine allergy","NA","NA"
"166","DOID:0040036","tubocurarine allergy","""DTC allergy"" EXACT []","NA"
"170","DOID:0040037","aztreonam allergy","""Primbactam allergy"" EXACT []","NA"
"175","DOID:0040038","meropenem allergy","""Merrem allergy"" EXACT []","NA"
"179","DOID:0040040","hexamethylene diisocyanate allergic asthma","""allergic asthma to HMDI"" EXACT []","NA"
"184","DOID:0040041","isocyanates allergic asthma","NA","NA"
"187","DOID:0040042","diphenylmethane-4,4'-diisocyanate allergic asthma","""allergic asthma to MDI"" EXACT []","NA"
"191","DOID:0040043","toluene meta-diisocyanate allergic asthma","""allergic asthma to TDI"" EXACT []","NA"
"195","DOID:0040044","methyl isocyanate allergic asthma","""allergic asthma to MIC"" EXACT []","NA"
"199","DOID:0040045","nickel allergic asthma","""allergic asthma to Ni"" EXACT []","NA"
"203","DOID:0040046","nickel allergic contact dermatitis","""allergic contact dermatitis to Ni"" EXACT []","NA"
"207","DOID:0040047","trimellitic anhydride allergic asthma","""allergic asthma to TMA"" EXACT []","NA"
"211","DOID:0040048","phthalic anhydride allergic asthma","NA","NA"
