"","doid","is_a"
"1"," DOID:0001816"," DOID:175 "
"4"," DOID:0002116"," DOID:10124 "
"7"," DOID:0014667"," DOID:4 "
"10"," DOID:0040001"," DOID:0060524 "
"13"," DOID:0040002"," DOID:0060500 "
"16"," DOID:0040003"," DOID:0060519 "
"19"," DOID:0040004"," DOID:0060519 "
"22"," DOID:0040005"," DOID:0040021 "
"25"," DOID:0040006"," DOID:0060500 "
"28"," DOID:0040007"," DOID:0060500 "
"31"," DOID:0040008"," DOID:0060500 "
"34"," DOID:0040009"," DOID:0060500 "
"37"," DOID:0040010"," DOID:0060500 "
"40"," DOID:0040011"," DOID:0060500 "
"43"," DOID:0040012"," DOID:0060500 "
"46"," DOID:0040013"," DOID:0060500 "
"49"," DOID:0040014"," DOID:0060500 "
"52"," DOID:0040015"," DOID:0060500 "
"55"," DOID:0040016"," DOID:0060500 "
"58"," DOID:0040017"," DOID:0060500 "
"61"," DOID:0040018"," DOID:0060500 "
"64"," DOID:0040019"," DOID:0060500 "
"67"," DOID:0040020"," DOID:0040021 "
"70"," DOID:0040021"," DOID:0060500 "
"73"," DOID:0040022"," DOID:0060500 "
"76"," DOID:0040023"," DOID:0040021 "
"79"," DOID:0040024"," DOID:0040021 "
"82"," DOID:0040025"," DOID:0040021 "
"85"," DOID:0040026"," DOID:0060500 "
"88"," DOID:0040027"," DOID:0060500 "
"91"," DOID:0040028"," DOID:0060500 "
"94"," DOID:0040029"," DOID:0060500 "
"97"," DOID:0040030"," DOID:0040021 "
"100"," DOID:0040031"," DOID:0060500 "
"103"," DOID:0040032"," DOID:0060500 "
"106"," DOID:0040033"," DOID:0060519 "
"109"," DOID:0040034"," DOID:0060500 "
"112"," DOID:0040035"," DOID:0060500 "
"115"," DOID:0040036"," DOID:0060500 "
"118"," DOID:0040037"," DOID:0060519 "
"121"," DOID:0040038"," DOID:9415 "
"124"," DOID:0040040"," DOID:0040041 "
"127"," DOID:0040041"," DOID:9415 "
"130"," DOID:0040042"," DOID:0040041 "
"133"," DOID:0040043"," DOID:0040041 "
"136"," DOID:0040044"," DOID:0040041 "
"139"," DOID:0040045"," DOID:9415 "
"142"," DOID:0040046"," DOID:3042 "
"145"," DOID:0040047"," DOID:9415 "
"148"," DOID:0040048"," DOID:9415 "
"151"," DOID:0040049"," DOID:9415 "
"154"," DOID:0040050"," DOID:9415 "
"157"," DOID:0040051"," DOID:9415 "
"160"," DOID:0040052"," DOID:3042 "
"163"," DOID:0040053"," DOID:3042 "
"166"," DOID:0040054"," DOID:9415 "
"169"," DOID:0040055"," DOID:3042 "
"172"," DOID:0040056"," DOID:3042 "
"175"," DOID:0040057"," DOID:3042 "
"178"," DOID:0040058"," DOID:3042 "
"181"," DOID:0040059"," DOID:3042 "
"184"," DOID:0040060"," DOID:3818 "
"187"," DOID:0040061"," DOID:0060496 "
"190"," DOID:0040062"," DOID:0060496 "
"193"," DOID:0040063"," DOID:0060496 "
"196"," DOID:0040064"," DOID:3042 "
"199"," DOID:0040065"," DOID:0060500 "
"202"," DOID:0040066"," DOID:0060500 "
"205"," DOID:0040067"," DOID:3042 "
"208"," DOID:0040068"," DOID:3042 "
"211"," DOID:0040069"," DOID:3042 "
"214"," DOID:0040070"," DOID:0060500 "
"217"," DOID:0040071"," DOID:0060500 "
"220"," DOID:0040072"," DOID:3042 "
"223"," DOID:0040073"," DOID:0060500 "
"226"," DOID:0040074"," DOID:3042 "
"229"," DOID:0040075"," DOID:3042 "
"232"," DOID:0040076"," DOID:0060500 "
"235"," DOID:0040077"," DOID:0060500 "
"238"," DOID:0040078"," DOID:0060500 "
"241"," DOID:0040079"," DOID:3042 "
"244"," DOID:0040080"," DOID:0060500 "
"247"," DOID:0040081"," DOID:0060496 "
"250"," DOID:0040082"," DOID:0060500 "
"253"," DOID:0040083"," DOID:874 "
"256"," DOID:0040084"," DOID:874 "
"259"," DOID:0040085"," DOID:104 "
"262"," DOID:0040086"," DOID:934 "
"265"," DOID:0040087"," DOID:0060033 "
"268"," DOID:0040088"," DOID:0060030 "
"271"," DOID:0040089"," DOID:0060033 "
"274"," DOID:0040090"," DOID:0060031 "
"277"," DOID:0040091"," DOID:0060005 "
"280"," DOID:0040092"," DOID:0060032 "
"283"," DOID:0040093"," DOID:8857 "
"286"," DOID:0040094"," DOID:0060049 "
"289"," DOID:0040095"," DOID:0060051 "
"292"," DOID:0040096"," DOID:0060051 "
"295"," DOID:0040097"," DOID:0060051 "
"298"," DOID:0040098"," DOID:9182 "
"301"," DOID:0040099"," DOID:865 "
"304"," DOID:0040100"," DOID:0060005 "
"307"," DOID:0040101"," DOID:3042 "
"310"," DOID:0040102"," DOID:3042 "
"313"," DOID:0040103"," DOID:0040021 "
"316"," DOID:0040104"," DOID:0040043 "
"319"," DOID:0050001",NA
"321"," DOID:0050002",NA
"323"," DOID:0050003",NA
"325"," DOID:0050004"," DOID:10400 "
"328"," DOID:0050007",NA
"330"," DOID:0050009",NA
"332"," DOID:0050010",NA
"334"," DOID:0050011",NA
"336"," DOID:0050012"," DOID:934 "
"339"," DOID:0050013",NA
"341"," DOID:0050014",NA
"343"," DOID:0050015",NA
"345"," DOID:0050024",NA
"347"," DOID:0050025"," DOID:10242 "
"350"," DOID:0050026"," DOID:10242 "
"353"," DOID:0050032"," DOID:0060158 "
"356"," DOID:0050035"," DOID:11104 "
"359"," DOID:0050041"," DOID:11104 "
"362"," DOID:0050042"," DOID:11104 "
"365"," DOID:0050043"," DOID:11104 "
"368"," DOID:0050046"," DOID:11104 "
"371"," DOID:0050047"," DOID:11104 "
"374"," DOID:0050050"," DOID:11104 "
"377"," DOID:0050051"," DOID:11104 "
"380"," DOID:0050052"," DOID:11104 "
"383"," DOID:0050053",NA
"385"," DOID:0050059"," DOID:13386 "
"388"," DOID:0050061"," DOID:0050338 "
"391"," DOID:0050063",NA
"393"," DOID:0050065",NA
"395"," DOID:0050066",NA
"397"," DOID:0050067",NA
"399"," DOID:0050068",NA
"401"," DOID:0050069",NA
"403"," DOID:0050070",NA
"405"," DOID:0050072"," DOID:0050292 "
"408"," DOID:0050073"," DOID:13564 "
"411"," DOID:0050074",NA
"413"," DOID:0050075",NA
"415"," DOID:0050078",NA
"417"," DOID:0050079",NA
"419"," DOID:0050080",NA
"421"," DOID:0050082",NA
"423"," DOID:0050083"," DOID:5113 "
"426"," DOID:0050084",NA
"428"," DOID:0050085",NA
"430"," DOID:0050086",NA
"432"," DOID:0050088",NA
"434"," DOID:0050089",NA
"436"," DOID:0050090",NA
"438"," DOID:0050091",NA
"440"," DOID:0050092",NA
"442"," DOID:0050093",NA
"444"," DOID:0050094",NA
"446"," DOID:0050095",NA
"448"," DOID:0050096"," DOID:8913 "
"451"," DOID:0050097"," DOID:4337 "
"454"," DOID:0050098",NA
"456"," DOID:0050099",NA
"458"," DOID:0050100",NA
"460"," DOID:0050101",NA
"462"," DOID:0050102",NA
"464"," DOID:0050103",NA
"466"," DOID:0050104",NA
"468"," DOID:0050105"," DOID:4337 "
"471"," DOID:0050106",NA
"473"," DOID:0050107",NA
"475"," DOID:0050108",NA
"477"," DOID:0050110",NA
"479"," DOID:0050111",NA
"481"," DOID:0050112",NA
"483"," DOID:0050113",NA
"485"," DOID:0050115",NA
"487"," DOID:0050116"," DOID:12179 "
"490"," DOID:0050117"," DOID:4 "
"493"," DOID:0050118"," DOID:934 "
"496"," DOID:0050119",NA
"498"," DOID:0050120"," DOID:75 "
"501"," DOID:0050123",NA
"503"," DOID:0050125"," DOID:12205 "
"506"," DOID:0050126",NA
"508"," DOID:0050127"," DOID:1352 "
"511"," DOID:0050129"," DOID:13250 "
"514"," DOID:0050130"," DOID:13250 "
"517"," DOID:0050131"," DOID:13250 "
"520"," DOID:0050132"," DOID:13250 "
"523"," DOID:0050133"," DOID:1564 "
"526"," DOID:0050134"," DOID:1564 "
"529"," DOID:0050135"," DOID:1564 "
"532"," DOID:0050136"," DOID:1564 "
"535"," DOID:0050138"," DOID:4976 "
"538"," DOID:0050139",NA
"540"," DOID:0050140"," DOID:13250 "
"543"," DOID:0050141"," DOID:11976 "
"546"," DOID:0050143"," DOID:12205 "
"549"," DOID:0050144"," DOID:9562 "
"552"," DOID:0050145"," DOID:974 "
"555"," DOID:0050147"," DOID:9463 "
"558"," DOID:0050148"," DOID:974 "
"561"," DOID:0050150"," DOID:10458 "
"564"," DOID:0050151",NA
"566"," DOID:0050152"," DOID:874 "
"569"," DOID:0050153"," DOID:13564 "
"572"," DOID:0050154",NA
"574"," DOID:0050155"," DOID:863 "
"577"," DOID:0050156"," DOID:3770 "
"580"," DOID:0050157"," DOID:2797 "
"583"," DOID:0050158"," DOID:2797 "
"586"," DOID:0050159"," DOID:2797 "
"589"," DOID:0050160"," DOID:7427 "
"592"," DOID:0050161"," DOID:1579 "
"595"," DOID:0050162",NA
"597"," DOID:0050163",NA
"599"," DOID:0050164",NA
"601"," DOID:0050165",NA
"603"," DOID:0050166"," DOID:2149 "
"606"," DOID:0050167"," DOID:14040 "
"609"," DOID:0050168"," DOID:14040 "
"612"," DOID:0050169"," DOID:8857 "
"615"," DOID:0050170",NA
"617"," DOID:0050171",NA
"619"," DOID:0050172",NA
"621"," DOID:0050173",NA
"623"," DOID:0050174"," DOID:2365 "
"626"," DOID:0050175"," DOID:934 "
"629"," DOID:0050177"," DOID:630 "
"632"," DOID:0050178",NA
"634"," DOID:0050179"," DOID:0050175 "
"637"," DOID:0050180",NA
"639"," DOID:0050181",NA
"641"," DOID:0050182",NA
"643"," DOID:0050183",NA
"645"," DOID:0050184",NA
"647"," DOID:0050185"," DOID:37 "
"650"," DOID:0050186",NA
"652"," DOID:0050187",NA
"654"," DOID:0050188",NA
"656"," DOID:0050189",NA
"658"," DOID:0050190",NA
"660"," DOID:0050191",NA
"662"," DOID:0050192"," DOID:934 "
"665"," DOID:0050193",NA
"667"," DOID:0050194"," DOID:934 "
"670"," DOID:0050195"," DOID:934 "
"673"," DOID:0050196"," DOID:934 "
"676"," DOID:0050197"," DOID:934 "
"679"," DOID:0050198"," DOID:934 "
"682"," DOID:0050199"," DOID:934 "
"685"," DOID:0050200"," DOID:11266 "
"688"," DOID:0050201"," DOID:11266 "
"691"," DOID:0050202"," DOID:934 "
"694"," DOID:0050203",NA
"696"," DOID:0050204"," DOID:1884 "
"699"," DOID:0050205",NA
"701"," DOID:0050206",NA
"703"," DOID:0050207",NA
"705"," DOID:0050208",NA
"707"," DOID:0050209",NA
"709"," DOID:0050210",NA
"711"," DOID:0050211"," DOID:8469 "
"714"," DOID:0050212",NA
"716"," DOID:0050213",NA
"718"," DOID:0050214"," DOID:439 "
"721"," DOID:0050215",NA
"723"," DOID:0050216",NA
"725"," DOID:0050217",NA
"727"," DOID:0050218"," DOID:1496 "
"730"," DOID:0050219",NA
"732"," DOID:0050220",NA
"734"," DOID:0050221",NA
"736"," DOID:0050222"," DOID:11702 "
"739"," DOID:0050223",NA
"741"," DOID:0050224",NA
"743"," DOID:0050225",NA
"745"," DOID:0050226",NA
"747"," DOID:0050227",NA
"749"," DOID:0050228",NA
"751"," DOID:0050229",NA
"753"," DOID:0050230",NA
"755"," DOID:0050231",NA
"757"," DOID:0050232",NA
"759"," DOID:0050233",NA
"761"," DOID:0050234",NA
"763"," DOID:0050235",NA
"765"," DOID:0050236",NA
"767"," DOID:0050237",NA
"769"," DOID:0050238",NA
"771"," DOID:0050239",NA
"773"," DOID:0050240",NA
"775"," DOID:0050241",NA
"777"," DOID:0050242"," DOID:2789 "
"780"," DOID:0050243",NA
"782"," DOID:0050244",NA
"784"," DOID:0050245",NA
"786"," DOID:0050246"," DOID:2789 "
"789"," DOID:0050247",NA
"791"," DOID:0050249",NA
"793"," DOID:0050250"," DOID:883 "
"796"," DOID:0050251"," DOID:883 "
"799"," DOID:0050252",NA
"801"," DOID:0050253"," DOID:883 "
"804"," DOID:0050254"," DOID:883 "
"807"," DOID:0050255",NA
"809"," DOID:0050256"," DOID:883 "
"812"," DOID:0050257",NA
"814"," DOID:0050258",NA
"816"," DOID:0050259"," DOID:883 "
"819"," DOID:0050260"," DOID:883 "
"822"," DOID:0050261"," DOID:883 "
"825"," DOID:0050262",NA
"827"," DOID:0050263",NA
"829"," DOID:0050264",NA
"831"," DOID:0050265",NA
"833"," DOID:0050266"," DOID:4110 "
"836"," DOID:0050267",NA
"838"," DOID:0050268"," DOID:11080 "
"841"," DOID:0050269"," DOID:1947 "
"844"," DOID:0050270"," DOID:1947 "
"847"," DOID:0050271",NA
"849"," DOID:0050272",NA
"851"," DOID:0050273",NA
"853"," DOID:0050274",NA
"855"," DOID:0050275",NA
"857"," DOID:0050276",NA
"859"," DOID:0050277",NA
"861"," DOID:0050278"," DOID:0050135 "
"864"," DOID:0050279"," DOID:0050135 "
"867"," DOID:0050280",NA
"869"," DOID:0050281",NA
"871"," DOID:0050282",NA
"873"," DOID:0050283",NA
"875"," DOID:0050284",NA
"877"," DOID:0050285",NA
"879"," DOID:0050286",NA
"881"," DOID:0050287",NA
"883"," DOID:0050288"," DOID:2473 "
"886"," DOID:0050289"," DOID:2473 "
"889"," DOID:0050290"," DOID:2473 "
"892"," DOID:0050291"," DOID:1398 "
"895"," DOID:0050292"," DOID:0050136 "
"898"," DOID:0050293",NA
"900"," DOID:0050294",NA
"902"," DOID:0050295",NA
"904"," DOID:0050296",NA
"906"," DOID:0050297",NA
"908"," DOID:0050298",NA
"910"," DOID:0050299",NA
"912"," DOID:0050300",NA
"914"," DOID:0050301",NA
"916"," DOID:0050302",NA
"918"," DOID:0050303",NA
"920"," DOID:0050304"," DOID:9835 "
"923"," DOID:0050305",NA
"925"," DOID:0050306",NA
"927"," DOID:0050307",NA
"929"," DOID:0050308"," DOID:11320 "
"932"," DOID:0050309",NA
"934"," DOID:0050310",NA
"936"," DOID:0050311",NA
"938"," DOID:0050312",NA
"940"," DOID:0050313",NA
"942"," DOID:0050314",NA
"944"," DOID:0050315",NA
"946"," DOID:0050316",NA
"948"," DOID:0050317",NA
"950"," DOID:0050318",NA
"952"," DOID:0050319",NA
"954"," DOID:0050320",NA
"956"," DOID:0050321",NA
"958"," DOID:0050322",NA
"960"," DOID:0050323",NA
"962"," DOID:0050324",NA
"964"," DOID:0050325",NA
"966"," DOID:0050327",NA
"968"," DOID:0050328"," DOID:1459 "
"971"," DOID:0050329",NA
"973"," DOID:0050331"," DOID:225 "
"976"," DOID:0050332"," DOID:3426 "
"979"," DOID:0050333",NA
"981"," DOID:0050334",NA
"983"," DOID:0050335"," DOID:5679 "
"986"," DOID:0050336"," DOID:2485 "
"989"," DOID:0050337",NA
"991"," DOID:0050338"," DOID:104 "
"994"," DOID:0050339"," DOID:104 "
"997"," DOID:0050340"," DOID:104 "
"1000"," DOID:0050341",NA
"1002"," DOID:0050342",NA
"1004"," DOID:0050343",NA
"1006"," DOID:0050344",NA
"1008"," DOID:0050345",NA
"1010"," DOID:0050346",NA
"1012"," DOID:0050347",NA
"1014"," DOID:0050348",NA
"1016"," DOID:0050349",NA
"1018"," DOID:0050350",NA
"1020"," DOID:0050351",NA
"1022"," DOID:0050352"," DOID:11976 "
"1025"," DOID:0050353"," DOID:11976 "
"1028"," DOID:0050354"," DOID:11976 "
"1031"," DOID:0050355",NA
"1033"," DOID:0050357",NA
"1035"," DOID:0050358",NA
"1037"," DOID:0050359",NA
"1039"," DOID:0050360",NA
"1041"," DOID:0050361",NA
"1043"," DOID:0050362",NA
"1045"," DOID:0050363",NA
"1047"," DOID:0050364",NA
"1049"," DOID:0050365",NA
"1051"," DOID:0050366",NA
"1053"," DOID:0050367",NA
"1055"," DOID:0050368",NA
"1057"," DOID:0050369",NA
"1059"," DOID:0050370",NA
"1061"," DOID:0050371",NA
"1063"," DOID:0050372",NA
"1065"," DOID:0050373",NA
"1067"," DOID:0050374",NA
"1069"," DOID:0050375",NA
"1071"," DOID:0050376",NA
"1073"," DOID:0050377",NA
"1075"," DOID:0050378",NA
"1077"," DOID:0050379",NA
"1079"," DOID:0050380",NA
"1081"," DOID:0050381",NA
"1083"," DOID:0050382"," DOID:2123 "
"1086"," DOID:0050383"," DOID:2123 "
"1089"," DOID:0050384",NA
"1091"," DOID:0050385",NA
"1093"," DOID:0050386",NA
"1095"," DOID:0050387"," DOID:4455 "
"1098"," DOID:0050388",NA
"1100"," DOID:0050389",NA
"1102"," DOID:0050390",NA
"1104"," DOID:0050391",NA
"1106"," DOID:0050392",NA
"1108"," DOID:0050393",NA
"1110"," DOID:0050394",NA
"1112"," DOID:0050395",NA
"1114"," DOID:0050396",NA
"1116"," DOID:0050397",NA
"1118"," DOID:0050398"," DOID:11102 "
"1121"," DOID:0050399",NA
"1123"," DOID:0050400",NA
"1125"," DOID:0050401",NA
"1127"," DOID:0050402",NA
"1129"," DOID:0050403",NA
"1131"," DOID:0050404",NA
"1133"," DOID:0050405",NA
"1135"," DOID:0050406",NA
"1137"," DOID:0050407",NA
"1139"," DOID:0050408",NA
"1141"," DOID:0050409",NA
"1143"," DOID:0050410",NA
"1145"," DOID:0050411",NA
"1147"," DOID:0050412",NA
"1149"," DOID:0050413",NA
"1151"," DOID:0050414",NA
"1153"," DOID:0050415",NA
"1155"," DOID:0050416",NA
"1157"," DOID:0050417",NA
"1159"," DOID:0050418",NA
"1161"," DOID:0050419"," DOID:626 "
"1164"," DOID:0050420",NA
"1166"," DOID:0050421",NA
"1168"," DOID:0050422",NA
"1170"," DOID:0050423",NA
"1172"," DOID:0050424"," DOID:5295 "
"1175"," DOID:0050425"," DOID:331 "
"1178"," DOID:0050426"," DOID:37 "
"1181"," DOID:0050427"," DOID:225 "
"1184"," DOID:0050428"," DOID:3390 "
"1187"," DOID:0050429"," DOID:9182 "
